product_category_name_english,total_revenue,order_count,item_count
health_beauty,1258681.34,8836,9670
watches_gifts,1205005.68,5624,5991
bed_bath_table,1036988.68,9417,11115
sports_leisure,988048.97,7720,8641
computers_accessories,911954.32,6689,7827
furniture_decor,729762.49,6449,8334
cool_stuff,635290.85,3632,3796
housewares,632248.66,5884,6964
auto,592720.11,3897,4235
garden_tools,485256.46,3518,4347
toys,483946.6,3886,4117
baby,411764.89,2885,3065
perfumery,399124.87,3162,3419
telephony,323667.52999999997,4199,4545
office_furniture,273960.7,1273,1691
stationery,230943.23,2311,2517
computers,222963.13,181,203
pet_shop,214315.41,1710,1947
musical_instruments,191498.88,628,680
small_appliances,190648.58,630,679
electronics,160246.74,2550,2767
consoles_games,157465.22,1062,1137
fashion_bags_accessories,152823.54,1864,2031
construction_tools_construction,144677.59,748,929
luggage_accessories,140429.98,1034,1092
home_appliances_2,113317.74,234,238
home_construction,83088.12,490,604
home_appliances,80171.53,764,771
agro_industry_and_commerce,72530.47,182,212
furniture_living_room,68916.56,422,503
fixed_telephony,59583.0,217,264
home_confort,58572.04,397,434
air_conditioning,55024.96,253,297
audio,50688.5,350,364
small_appliances_home_oven_and_coffee,47445.71,75,76
books_general_interest,46856.88,512,553
kitchen_dining_laundry_garden_furniture,46328.37,248,281
construction_tools_lights,41080.0,244,304
construction_tools_safety,40544.52,167,194
industry_commerce_and_business,39669.61,235,268
food,29393.41,450,510
market_place,28378.47,280,311
costruction_tools_garden,25715.89,194,238
art,24202.64,202,209
fashion_shoes,23562.77,240,262
drinks,22428.7,297,379
signaling_and_security,21509.23,140,199
furniture_bedroom,20028.78,95,109
books_technical,19096.06,260,267
costruction_tools_tools,15903.95,97,103
food_drink,15179.48,227,278
fashion_male_clothing,10797.82,112,132
fashion_underwear_beach,9541.55,121,131
christmas_supplies,8800.82,128,153
tablets_printing_image,7528.41,79,83
cine_photo,6933.46,65,72
music,6034.35,38,38
dvds_blu_ray,5999.39,59,64
books_imported,4639.85,53,60
party_supplies,4485.18,39,43
furniture_mattress_and_upholstery,4368.08,38,38
fashio_female_clothing,2803.64,39,48
fashion_sport,2119.51,27,30
la_cuisine,2054.99,13,14
arts_and_craftmanship,1814.01,23,24
diapers_and_hygiene,1567.59,27,39
flowers,1110.04,29,33
home_comfort_2,760.27,24,30
cds_dvds_musicals,730.0,12,14
fashion_childrens_clothes,569.85,8,8
security_and_services,283.28999999999996,2,2
